participant_id,scenario,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income
A100_00001,clean,5.0,5.1,953.0,4.8,68548.0
A100_00002,clean,17.4,12.9,718.0,7.9,32131.0
A100_00003,clean,36.3,9.8,636.0,4.9,34947.0
A100_00004,clean,14.2,15.0,1289.0,16.0,30172.0
A100_00005,clean,47.9,18.1,826.0,35.6,23358.0
A100_00006,clean,18.7,7.9,1257.0,4.8,57772.0
A100_00007,clean,3.1,5.1,1525.0,7.9,80455.0
A100_00008,clean,9.9,5.2,550.0,51.4,47181.0
A100_00009,clean,18.4,6.2,793.0,16.9,40503.0
A100_00010,clean,28.9,11.8,845.0,17.9,30813.0
A100_00011,clean,22.5,11.3,847.0,2.1,46985.0
A100_00012,clean,49.2,39.0,1039.0,29.9,18150.0
A100_00013,clean,9.5,8.5,804.0,2.1,65321.0
A100_00014,clean,19.7,12.1,1194.0,5.5,53864.0
A100_00015,clean,5.7,7.2,832.0,7.3,62143.0
A100_00016,clean,5.1,4.3,704.0,5.2,70724.0
A100_00017,clean,3.9,8.0,997.0,2.8,72962.0
A100_00018,clean,2.8,7.5,986.0,6.0,82204.0
A100_00019,clean,7.8,4.4,785.0,5.0,63405.0
A100_00020,clean,22.2,12.6,860.0,7.4,48696.0
A100_00021,clean,3.3,8.6,1891.0,1.7,139320.0
A100_00022,clean,33.0,11.0,1018.0,5.3,40399.0
A100_00023,clean,12.4,3.3,810.0,6.2,45458.0
A100_00024,clean,16.8,7.0,708.0,18.9,33368.0
A100_00025,clean,19.0,14.1,673.0,18.1,28939.0
A100_00026,clean,27.8,15.2,716.0,5.7,33109.0
A100_00027,clean,12.8,9.5,131.0,89.2,37667.0
A100_00028,clean,36.4,9.5,712.0,11.9,28571.0
A100_00029,clean,19.3,21.3,1271.0,7.9,41797.0
A100_00030,clean,20.3,3.3,788.0,9.1,39421.0
A100_00031,clean,4.0,8.2,730.0,15.6,31979.0
A100_00032,clean,7.1,7.9,1044.0,7.2,76673.0
A100_00033,clean,6.3,8.9,537.0,11.0,57702.0
A100_00034,clean,30.9,8.4,833.0,26.1,31764.0
A100_00035,clean,8.0,7.1,787.0,4.1,60203.0
A100_00036,clean,20.5,10.0,805.0,18.3,46183.0
A100_00037,clean,8.4,3.1,910.0,11.7,85000.0
A100_00038,clean,27.2,21.4,1091.0,18.1,38281.0
A100_00039,clean,9.0,8.1,762.0,5.5,85938.0
A100_00040,clean,49.6,32.9,920.0,27.8,20057.0
A100_00041,clean,8.8,3.9,851.0,10.8,60785.0
A100_00042,clean,11.2,9.7,1183.0,4.7,62143.0
A100_00043,clean,15.4,15.1,921.0,7.8,47029.0
A100_00044,clean,8.4,2.6,893.0,4.5,55382.0
A100_00045,clean,2.9,6.9,1185.0,25.4,66121.0
A100_00046,clean,9.6,2.2,1750.0,74.7,92750.0
A100_00047,clean,22.4,10.4,638.0,20.1,36292.0
A100_00048,clean,1.9,1.8,1042.0,0.8,86591.0
A100_00049,clean,13.3,8.6,1473.0,3.3,66075.0
A100_00050,clean,20.3,8.3,576.0,7.8,32717.0
A100_00051,clean,29.0,9.0,776.0,5.4,48073.0
A100_00052,clean,13.6,13.6,676.0,6.2,46113.0
A100_00053,clean,6.0,10.1,1164.0,5.2,63986.0
A100_00054,clean,10.7,15.6,2001.0,11.6,74844.0
A100_00055,clean,19.0,16.7,716.0,13.6,28635.0
A100_00056,clean,7.6,6.3,1003.0,6.2,66563.0
A100_00057,clean,14.2,10.6,755.0,2.8,56550.0
A100_00058,clean,3.9,5.8,789.0,10.4,60721.0
A100_00059,clean,4.4,0.9,2001.0,5.3,160132.0
A100_00060,clean,9.5,11.7,1690.0,6.1,74167.0
A100_00061,clean,26.4,17.4,725.0,13.6,48006.0
A100_00062,clean,32.2,13.9,1000.0,18.6,34073.0
A100_00063,clean,29.0,12.9,1131.0,8.1,37854.0
A100_00064,clean,2.6,5.7,1299.0,22.8,59205.0
A100_00065,clean,23.1,9.2,605.0,11.8,37101.0
A100_00066,clean,8.8,5.3,947.0,19.7,54861.0
A100_00067,clean,3.0,6.4,1102.0,3.1,68475.0
A100_00068,clean,4.7,2.2,598.0,4.4,67793.0
A100_00069,clean,86.0,21.8,1381.0,33.7,14231.0
A100_00070,clean,12.9,11.0,1528.0,6.5,60320.0
A100_00071,duplicate_group,4.4,5.2,2001.0,5.0,133125.0
A100_00072,duplicate_group,19.2,11.0,803.0,5.6,41217.0
A100_00073,duplicate_group,5.5,6.1,2001.0,10.3,98864.0
A100_00074,duplicate_group,0.8,6.3,2001.0,4.8,153646.0
A100_00075,duplicate_group,3.6,8.5,2001.0,6.3,90375.0
A100_00076,duplicate_group,2.4,4.9,2001.0,8.1,97238.0
A100_00077,duplicate_group,0.7,7.1,2001.0,3.3,109539.0
A100_00078,duplicate_group,4.5,6.5,2001.0,2.3,136250.0
A100_00079,perturbed_pm2,5.4,1.0,613.0,8.8,62333.0
A100_00080,perturbed_pm2,8.4,13.9,1684.0,8.4,64323.0
A100_00081,perturbed_pm2,18.4,10.1,772.0,20.0,50234.0
A100_00082,perturbed_pm2,7.2,8.6,1996.0,0.0,65854.0
A100_00083,perturbed_pm2,21.2,11.0,728.0,6.3,37522.0
A100_00084,perturbed_pm2,14.0,11.1,659.0,8.9,53918.0
A100_00085,perturbed_pm2,3.2,0.6,1003.0,8.4,71810.0
A100_00086,perturbed_pm2,2.8,12.3,1407.0,10.0,68389.0
A100_00087,missing_one,44.7,,384.0,18.1,21220.0
A100_00088,missing_one,17.3,8.7,377.0,,33603.0
A100_00089,missing_one,,0.4,935.0,6.9,64861.0
A100_00090,missing_one,10.3,,706.0,8.0,54580.0
A100_00091,missing_one,4.3,2.2,772.0,,54871.0
A100_00092,missing_one,14.5,6.9,502.0,1.8,
A100_00093,missing_one,8.7,7.1,,14.1,46549.0
A100_00094,missing_one,14.8,6.3,850.0,34.2,
A100_00095,missing_one,48.8,,373.0,16.0,19415.0
A100_00096,missing_one,,17.5,649.0,4.9,50958.0
A100_00097,missing_three,,11.3,,,29650.0
A100_00098,missing_three,,,831.0,5.2,
A100_00099,missing_three,24.5,22.2,,,
A100_00100,missing_all,,,,,
