participant_id,scenario,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income
A20_00001,clean,4.0,6.0,1390.0,4.0,89359.0
A20_00002,clean,6.0,6.0,651.0,5.0,61196.0
A20_00003,clean,24.0,7.0,769.0,5.0,39917.0
A20_00004,clean,26.0,23.0,854.0,16.0,41312.0
A20_00005,clean,30.0,8.0,1033.0,12.0,35339.0
A20_00006,clean,26.0,9.0,276.0,17.0,25089.0
A20_00007,clean,29.0,13.0,794.0,5.0,36618.0
A20_00008,clean,15.0,9.0,1119.0,3.0,77610.0
A20_00009,clean,5.0,8.0,1442.0,3.0,67530.0
A20_00010,clean,12.0,10.0,971.0,12.0,49676.0
A20_00011,duplicate_group,3.0,8.0,2001.0,21.0,67986.0
A20_00012,duplicate_group,2.0,3.0,2001.0,6.0,250001.0
A20_00013,duplicate_group,2.0,3.0,2001.0,11.0,100018.0
A20_00014,perturbed_pm2,0.0,4.0,1056.0,2.0,83110.0
A20_00015,perturbed_pm2,16.0,6.0,734.0,17.0,32372.0
A20_00016,perturbed_pm2,12.0,12.0,668.0,6.0,57523.0
A20_00017,missing_one,6.0,4.0,,5.0,71908.0
A20_00018,missing_one,34.0,,514.0,15.0,30551.0
A20_00019,missing_three,,,,24.0,36827.0
A20_00020,missing_all,,,,,
