tract_geoid,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income,green_space_pct,walkability_index,duplicate_group_id
01001020100,10.0,4.9,738.0,3.6,60000.0,44.3,6.1,294
01001020200,18.2,15.5,746.0,6.8,42971.0,21.3,3.0,
01001020300,19.1,4.3,823.0,14.1,43717.0,46.0,5.7,
01001020400,3.3,10.3,1110.0,8.8,55814.0,56.5,11.5,
01001020500,8.5,3.5,943.0,6.2,57349.0,13.4,9.0,
01001020600,14.1,10.5,734.0,13.1,56985.0,19.7,4.9,
01001020700,26.4,11.8,756.0,15.3,37137.0,33.6,7.5,
01001020801,13.6,10.3,678.0,3.3,72917.0,33.8,12.0,
01001020802,13.8,8.3,1161.0,10.3,56681.0,37.9,12.2,
01001020900,12.8,12.3,692.0,7.7,48033.0,26.7,4.5,
01001021000,11.0,6.2,633.0,14.5,49602.0,51.8,13.5,
01001021100,15.5,13.4,563.0,12.8,34183.0,48.1,1.0,
01003010100,15.6,11.0,308.0,36.6,42292.0,38.1,11.6,
01003010200,28.1,7.3,619.0,10.7,31480.0,46.7,1.0,
01003010300,8.5,8.1,1081.0,19.5,52344.0,47.3,5.4,
01003010400,16.0,14.1,823.0,16.6,43862.0,25.0,2.1,
01003010500,18.8,10.9,624.0,14.9,40990.0,40.8,9.6,
01003010600,28.0,8.8,557.0,17.9,27440.0,17.6,4.0,
01003010701,4.8,4.4,998.0,12.1,72755.0,54.9,11.7,
01003010703,3.3,3.2,1206.0,8.7,82284.0,42.7,18.1,
01003010704,2.8,8.8,1264.0,18.5,63952.0,41.0,6.4,
01003010705,11.6,7.8,946.0,10.8,51641.0,29.7,6.4,
01003010800,17.9,8.4,1028.0,8.1,62234.0,53.2,4.1,
01003010903,19.0,12.9,928.0,10.5,45811.0,33.3,5.9,
01003010904,7.9,9.8,944.0,24.1,44094.0,35.1,1.1,
01003010905,11.0,8.3,770.0,8.7,42182.0,34.6,2.6,
01003010906,9.4,6.9,738.0,9.3,46625.0,47.8,3.4,
01003011000,26.1,11.3,791.0,15.5,32159.0,37.1,4.0,
01003011101,13.3,6.3,890.0,8.7,57837.0,44.1,6.7,
01003011102,9.7,10.2,1076.0,10.3,61343.0,46.2,4.8,
