participant_id,n_vars_available,tier,n_candidates,matched_geoid,distance,quality_score,tied_geoids,true_tract_geoid,scenario,correct,true_in_ties
A20_00001,5,EXACT,1,17089850600,0.0,100,17089850600,17089850600,clean,True,True
A20_00002,5,EXACT,1,26145012100,0.0,100,26145012100,26145012100,clean,True,True
A20_00003,5,EXACT,1,47003950401,0.0,100,47003950401,47003950401,clean,True,True
A20_00004,5,EXACT,1,04019004011,0.0,100,04019004011,04019004011,clean,True,True
A20_00005,5,EXACT,1,51760021100,0.0,100,51760021100,51760021100,clean,True,True
A20_00006,5,EXACT,1,28147950200,0.0,100,28147950200,28147950200,clean,True,True
A20_00007,5,EXACT,1,06085503105,0.0,100,06085503105,06085503105,clean,True,True
A20_00008,5,EXACT,1,41067030806,0.0,100,41067030806,41067030806,clean,True,True
A20_00009,5,EXACT,1,51810042801,0.0,100,51810042801,51810042801,clean,True,True
A20_00010,5,EXACT,1,12127083007,0.0,100,12127083007,12127083007,clean,True,True
A20_00011,5,EXACT,1,04019004119,0.0,100,04019004119,04019004119,duplicate_group,True,True
A20_00012,5,EXACT,1,48201430400,0.0,100,48201430400,48201430400,duplicate_group,True,True
A20_00013,5,EXACT,1,36081099703,0.0,100,36081099703,36081099703,duplicate_group,True,True
A20_00014,5,FUZZY,1,29047021206,0.0672,88,29047021206,18003010308,perturbed_pm2,False,False
A20_00015,5,FUZZY,1,45083021301,0.0693,88,45083021301,45083021301,perturbed_pm2,True,True
A20_00016,5,FUZZY,1,29021000600,0.0639,89,29021000600,26049011209,perturbed_pm2,False,False
A20_00017,4,EXACT,1,48439110903,0.0,97,48439110903,48439110903,missing_one,True,True
A20_00018,4,EXACT,1,22123000200,0.0,97,22123000200,22123000200,missing_one,True,True
A20_00019,2,EXACT,1,04007000500,0.0,91,04007000500,04007000500,missing_three,True,True
A20_00020,0,INSUFFICIENT,0,,,0,,06067001700,missing_all,False,False
