participant_id,n_vars_available,tier,n_candidates,matched_geoid,distance,quality_score,tied_geoids,true_tract_geoid,scenario,correct,true_in_ties
A20_00001,5,FUZZY,1,17089850600,0.0438,92,17089850600,17089850600,clean,True,True
A20_00002,5,FUZZY,1,17201004002,0.0301,95,17201004002,26145012100,clean,False,False
A20_00003,5,FUZZY,1,47003950401,0.0667,89,47003950401,47003950401,clean,True,True
A20_00004,5,FUZZY,1,04019004011,0.0704,88,04019004011,04019004011,clean,True,True
A20_00005,5,FUZZY,1,36085002900,0.0663,89,36085002900,51760021100,clean,False,False
A20_00006,5,FUZZY,1,28147950200,0.0422,93,28147950200,28147950200,clean,True,True
A20_00007,5,FUZZY,1,06085503105,0.0179,97,06085503105,06085503105,clean,True,True
A20_00008,5,FUZZY,1,41067030806,0.0505,91,41067030806,41067030806,clean,True,True
A20_00009,5,FUZZY,1,51810042801,0.0438,92,51810042801,51810042801,clean,True,True
A20_00010,5,FUZZY,1,51036600200,0.0673,88,51036600200,12127083007,clean,False,False
A20_00011,5,FUZZY,1,04019004119,0.022,96,04019004119,04019004119,duplicate_group,True,True
A20_00012,5,FUZZY,1,51059480300,0.0324,94,51059480300,48201430400,duplicate_group,False,False
A20_00013,5,FUZZY,1,36081099703,0.0516,91,36081099703,36081099703,duplicate_group,True,True
A20_00014,5,FUZZY,1,39103408301,0.0892,85,39103408301,18003010308,perturbed_pm2,False,False
A20_00015,5,FUZZY,1,45083021301,0.0485,92,45083021301,45083021301,perturbed_pm2,True,True
A20_00016,5,FUZZY,1,29021000600,0.0517,91,29021000600,26049011209,perturbed_pm2,False,False
A20_00017,4,FUZZY,1,16019971400,0.0293,92,16019971400,48439110903,missing_one,False,False
A20_00018,4,FUZZY,1,22123000200,0.0125,95,22123000200,22123000200,missing_one,True,True
A20_00019,2,FUZZY,1,36003950600,0.0023,91,36003950600,04007000500,missing_three,False,False
A20_00020,0,INSUFFICIENT,0,,,0,,06067001700,missing_all,False,False
