participant_id,n_vars_available,tier,n_candidates,matched_geoid,distance,quality_score,tied_geoids,true_tract_geoid,scenario,correct,true_in_ties
A20_00001,5,FUZZY,1,48029121110,0.0544,91,48029121110,17089850600,clean,False,False
A20_00002,5,FUZZY,1,29183310802,0.0474,92,29183310802,26145012100,clean,False,False
A20_00003,5,FUZZY,1,48029171700,0.065,89,48029171700,47003950401,clean,False,False
A20_00004,5,FUZZY,1,32023960405,0.1514,74,32023960405,04019004011,clean,False,False
A20_00005,5,FUZZY,1,12011030903,0.0892,85,12011030903,51760021100,clean,False,False
A20_00006,5,FUZZY,1,48109950300,0.1156,80,48109950300,28147950200,clean,False,False
A20_00007,5,FUZZY,1,08001009501,0.1234,79,08001009501,06085503105,clean,False,False
A20_00008,5,FUZZY,1,06073012003,0.105,82,06073012003,41067030806,clean,False,False
A20_00009,5,FUZZY,1,37119005811,0.0964,83,37119005811,51810042801,clean,False,False
A20_00010,5,FUZZY,1,37051003307,0.0529,91,37051003307,12127083007,clean,False,False
A20_00011,5,FUZZY,1,25001013200,0.181,69,25001013200,04019004119,duplicate_group,False,False
A20_00012,5,FUZZY,1,25021401100,0.0967,83,25021401100,48201430400,duplicate_group,False,False
A20_00013,5,FUZZY,1,55055100601,0.0506,91,55055100601,36081099703,duplicate_group,False,False
A20_00014,5,FUZZY,1,26163594200,0.063,89,26163594200,18003010308,perturbed_pm2,False,False
A20_00015,5,FUZZY,1,35041000401,0.0946,84,35041000401,45083021301,perturbed_pm2,False,False
A20_00016,5,FUZZY,1,37159051202,0.0913,84,37159051202,26049011209,perturbed_pm2,False,False
A20_00017,4,FUZZY,1,42133020410,0.0261,93,42133020410,48439110903,missing_one,False,False
A20_00018,4,FUZZY,1,21205950300,0.0837,83,21205950300,22123000200,missing_one,False,False
A20_00019,2,FUZZY,1,45001950300,0.0105,89,45001950300,04007000500,missing_three,False,False
A20_00020,0,INSUFFICIENT,0,,,0,,06067001700,missing_all,False,False
