participant_id,true_tract_geoid,scenario
A20_00001,17089850600,clean
A20_00002,26145012100,clean
A20_00003,47003950401,clean
A20_00004,04019004011,clean
A20_00005,51760021100,clean
A20_00006,28147950200,clean
A20_00007,06085503105,clean
A20_00008,41067030806,clean
A20_00009,51810042801,clean
A20_00010,12127083007,clean
A20_00011,04019004119,duplicate_group
A20_00012,48201430400,duplicate_group
A20_00013,36081099703,duplicate_group
A20_00014,18003010308,perturbed_pm2
A20_00015,45083021301,perturbed_pm2
A20_00016,26049011209,perturbed_pm2
A20_00017,48439110903,missing_one
A20_00018,22123000200,missing_one
A20_00019,04007000500,missing_three
A20_00020,06067001700,missing_all
